台番号,BONUS,BIG,REG,BIG確率,REG確率,最大継続,合成確率,累計ゲーム,最終ゲーム,最大放出数
0111,"BONUS
BIG
REG
BIG確率
REG確率
最大継続
合成確率
累計ゲーム
最終ゲーム
最大放出数
	
本日
60
53
7
1/75.8
1/573.3
34
1/66.9
4013
263
7042
	
1日前
69
67
2
1/80.8
1/2703.5
33
1/78.4
5407
166
7523
	
2日前
14
11
3
1/232.1
1/851
3
1/182.4
2553
71
849
	
3日前
12
10
2
1/267
1/1335
2
1/222.5
2670
71
1129
	
4日前
	
5日前
3
3
0
1/402.4
0
1/402.4
1207
318
653","BONUS
BIG
REG
BIG確率
REG確率
最大継続
合成確率
累計ゲーム
最終ゲーム
最大放出数
	
本日
60
53
7
1/75.8
1/573.3
34
1/66.9
4013
263
7042
	
1日前
69
67
2
1/80.8
1/2703.5
33
1/78.4
5407
166
7523
	
2日前
14
11
3
1/232.1
1/851
3
1/182.4
2553
71
849
	
3日前
12
10
2
1/267
1/1335
2
1/222.5
2670
71
1129
	
4日前
	
5日前
3
3
0
1/402.4
0
1/402.4
1207
318
653","BONUS
BIG
REG
BIG確率
REG確率
最大継続
合成確率
累計ゲーム
最終ゲーム
最大放出数
	
本日
60
53
7
1/75.8
1/573.3
34
1/66.9
4013
263
7042
	
1日前
69
67
2
1/80.8
1/2703.5
33
1/78.4
5407
166
7523
	
2日前
14
11
3
1/232.1
1/851
3
1/182.4
2553
71
849
	
3日前
12
10
2
1/267
1/1335
2
1/222.5
2670
71
1129
	
4日前
	
5日前
3
3
0
1/402.4
0
1/402.4
1207
318
653","BONUS
BIG
REG
BIG確率
REG確率
最大継続
合成確率
累計ゲーム
最終ゲーム
最大放出数
	
本日
60
53
7
1/75.8
1/573.3
34
1/66.9
4013
263
7042
	
1日前
69
67
2
1/80.8
1/2703.5
33
1/78.4
5407
166
7523
	
2日前
14
11
3
1/232.1
1/851
3
1/182.4
2553
71
849
	
3日前
12
10
2
1/267
1/1335
2
1/222.5
2670
71
1129
	
4日前
	
5日前
3
3
0
1/402.4
0
1/402.4
1207
318
653","BONUS
BIG
REG
BIG確率
REG確率
最大継続
合成確率
累計ゲーム
最終ゲーム
最大放出数
	
本日
60
53
7
1/75.8
1/573.3
34
1/66.9
4013
263
7042
	
1日前
69
67
2
1/80.8
1/2703.5
33
1/78.4
5407
166
7523
	
2日前
14
11
3
1/232.1
1/851
3
1/182.4
2553
71
849
	
3日前
12
10
2
1/267
1/1335
2
1/222.5
2670
71
1129
	
4日前
	
5日前
3
3
0
1/402.4
0
1/402.4
1207
318
653","BONUS
BIG
REG
BIG確率
REG確率
最大継続
合成確率
累計ゲーム
最終ゲーム
最大放出数
	
本日
60
53
7
1/75.8
1/573.3
34
1/66.9
4013
263
7042
	
1日前
69
67
2
1/80.8
1/2703.5
33
1/78.4
5407
166
7523
	
2日前
14
11
3
1/232.1
1/851
3
1/182.4
2553
71
849
	
3日前
12
10
2
1/267
1/1335
2
1/222.5
2670
71
1129
	
4日前
	
5日前
3
3
0
1/402.4
0
1/402.4
1207
318
653","BONUS
BIG
REG
BIG確率
REG確率
最大継続
合成確率
累計ゲーム
最終ゲーム
最大放出数
	
本日
60
53
7
1/75.8
1/573.3
34
1/66.9
4013
263
7042
	
1日前
69
67
2
1/80.8
1/2703.5
33
1/78.4
5407
166
7523
	
2日前
14
11
3
1/232.1
1/851
3
1/182.4
2553
71
849
	
3日前
12
10
2
1/267
1/1335
2
1/222.5
2670
71
1129
	
4日前
	
5日前
3
3
0
1/402.4
0
1/402.4
1207
318
653","BONUS
BIG
REG
BIG確率
REG確率
最大継続
合成確率
累計ゲーム
最終ゲーム
最大放出数
	
本日
60
53
7
1/75.8
1/573.3
34
1/66.9
4013
263
7042
	
1日前
69
67
2
1/80.8
1/2703.5
33
1/78.4
5407
166
7523
	
2日前
14
11
3
1/232.1
1/851
3
1/182.4
2553
71
849
	
3日前
12
10
2
1/267
1/1335
2
1/222.5
2670
71
1129
	
4日前
	
5日前
3
3
0
1/402.4
0
1/402.4
1207
318
653","BONUS
BIG
REG
BIG確率
REG確率
最大継続
合成確率
累計ゲーム
最終ゲーム
最大放出数
	
本日
60
53
7
1/75.8
1/573.3
34
1/66.9
4013
263
7042
	
1日前
69
67
2
1/80.8
1/2703.5
33
1/78.4
5407
166
7523
	
2日前
14
11
3
1/232.1
1/851
3
1/182.4
2553
71
849
	
3日前
12
10
2
1/267
1/1335
2
1/222.5
2670
71
1129
	
4日前
	
5日前
3
3
0
1/402.4
0
1/402.4
1207
318
653","BONUS
BIG
REG
BIG確率
REG確率
最大継続
合成確率
累計ゲーム
最終ゲーム
最大放出数
	
本日
60
53
7
1/75.8
1/573.3
34
1/66.9
4013
263
7042
	
1日前
69
67
2
1/80.8
1/2703.5
33
1/78.4
5407
166
7523
	
2日前
14
11
3
1/232.1
1/851
3
1/182.4
2553
71
849
	
3日前
12
10
2
1/267
1/1335
2
1/222.5
2670
71
1129
	
4日前
	
5日前
3
3
0
1/402.4
0
1/402.4
1207
318
653"
0112,"BONUS
BIG
REG
BIG確率
REG確率
最大継続
合成確率
累計ゲーム
最終ゲーム
最大放出数
	
本日
23
21
2
1/205.5
1/2157.5
6
1/187.7
4315
313
1738
	
1日前
76
71
5
1/86.8
1/1232.4
22
1/81.1
6162
71
5615
	
2日前
10
7
3
1/366.2
1/854.4
3
1/256.3
2563
0
709
	
3日前
16
13
3
1/131.7
1/570.4
5
1/107
1711
72
1323
	
4日前
	
5日前
101
98
3
1/66.9
1/2182.4
30
1/64.9
6547
178
6759",21,2,"BONUS
BIG
REG
BIG確率
REG確率
最大継続
合成確率
累計ゲーム
最終ゲーム
最大放出数
	
本日
23
21
2
1/205.5
1/2157.5
6
1/187.7
4315
313
1738
	
1日前
76
71
5
1/86.8
1/1232.4
22
1/81.1
6162
71
5615
	
2日前
10
7
3
1/366.2
1/854.4
3
1/256.3
2563
0
709
	
3日前
16
13
3
1/131.7
1/570.4
5
1/107
1711
72
1323
	
4日前
	
5日前
101
98
3
1/66.9
1/2182.4
30
1/64.9
6547
178
6759","BONUS
BIG
REG
BIG確率
REG確率
最大継続
合成確率
累計ゲーム
最終ゲーム
最大放出数
	
本日
23
21
2
1/205.5
1/2157.5
6
1/187.7
4315
313
1738
	
1日前
76
71
5
1/86.8
1/1232.4
22
1/81.1
6162
71
5615
	
2日前
10
7
3
1/366.2
1/854.4
3
1/256.3
2563
0
709
	
3日前
16
13
3
1/131.7
1/570.4
5
1/107
1711
72
1323
	
4日前
	
5日前
101
98
3
1/66.9
1/2182.4
30
1/64.9
6547
178
6759","BONUS
BIG
REG
BIG確率
REG確率
最大継続
合成確率
累計ゲーム
最終ゲーム
最大放出数
	
本日
23
21
2
1/205.5
1/2157.5
6
1/187.7
4315
313
1738
	
1日前
76
71
5
1/86.8
1/1232.4
22
1/81.1
6162
71
5615
	
2日前
10
7
3
1/366.2
1/854.4
3
1/256.3
2563
0
709
	
3日前
16
13
3
1/131.7
1/570.4
5
1/107
1711
72
1323
	
4日前
	
5日前
101
98
3
1/66.9
1/2182.4
30
1/64.9
6547
178
6759","BONUS
BIG
REG
BIG確率
REG確率
最大継続
合成確率
累計ゲーム
最終ゲーム
最大放出数
	
本日
23
21
2
1/205.5
1/2157.5
6
1/187.7
4315
313
1738
	
1日前
76
71
5
1/86.8
1/1232.4
22
1/81.1
6162
71
5615
	
2日前
10
7
3
1/366.2
1/854.4
3
1/256.3
2563
0
709
	
3日前
16
13
3
1/131.7
1/570.4
5
1/107
1711
72
1323
	
4日前
	
5日前
101
98
3
1/66.9
1/2182.4
30
1/64.9
6547
178
6759",4315,313,"BONUS
BIG
REG
BIG確率
REG確率
最大継続
合成確率
累計ゲーム
最終ゲーム
最大放出数
	
本日
23
21
2
1/205.5
1/2157.5
6
1/187.7
4315
313
1738
	
1日前
76
71
5
1/86.8
1/1232.4
22
1/81.1
6162
71
5615
	
2日前
10
7
3
1/366.2
1/854.4
3
1/256.3
2563
0
709
	
3日前
16
13
3
1/131.7
1/570.4
5
1/107
1711
72
1323
	
4日前
	
5日前
101
98
3
1/66.9
1/2182.4
30
1/64.9
6547
178
6759"
0113,"BONUS
BIG
REG
BIG確率
REG確率
最大継続
合成確率
累計ゲーム
最終ゲーム
最大放出数
	
本日
9
6
3
1/687.9
1/1375.7
1
1/458.6
4127
100
875
	
1日前
79
73
6
1/95.6
1/1162.2
36
1/88.3
6973
663
5626
	
2日前
7
7
0
1/191.5
2
1/191.5
1340
0
1127
	
3日前
89
84
5
1/64.8
1/1087.4
22
1/61.1
5437
72
7687
	
4日前
	
5日前
42
33
9
1/226.9
1/831.7
27
1/178.3
7485
643
4134",6,3,"BONUS
BIG
REG
BIG確率
REG確率
最大継続
合成確率
累計ゲーム
最終ゲーム
最大放出数
	
本日
9
6
3
1/687.9
1/1375.7
1
1/458.6
4127
100
875
	
1日前
79
73
6
1/95.6
1/1162.2
36
1/88.3
6973
663
5626
	
2日前
7
7
0
1/191.5
2
1/191.5
1340
0
1127
	
3日前
89
84
5
1/64.8
1/1087.4
22
1/61.1
5437
72
7687
	
4日前
	
5日前
42
33
9
1/226.9
1/831.7
27
1/178.3
7485
643
4134","BONUS
BIG
REG
BIG確率
REG確率
最大継続
合成確率
累計ゲーム
最終ゲーム
最大放出数
	
本日
9
6
3
1/687.9
1/1375.7
1
1/458.6
4127
100
875
	
1日前
79
73
6
1/95.6
1/1162.2
36
1/88.3
6973
663
5626
	
2日前
7
7
0
1/191.5
2
1/191.5
1340
0
1127
	
3日前
89
84
5
1/64.8
1/1087.4
22
1/61.1
5437
72
7687
	
4日前
	
5日前
42
33
9
1/226.9
1/831.7
27
1/178.3
7485
643
4134","BONUS
BIG
REG
BIG確率
REG確率
最大継続
合成確率
累計ゲーム
最終ゲーム
最大放出数
	
本日
9
6
3
1/687.9
1/1375.7
1
1/458.6
4127
100
875
	
1日前
79
73
6
1/95.6
1/1162.2
36
1/88.3
6973
663
5626
	
2日前
7
7
0
1/191.5
2
1/191.5
1340
0
1127
	
3日前
89
84
5
1/64.8
1/1087.4
22
1/61.1
5437
72
7687
	
4日前
	
5日前
42
33
9
1/226.9
1/831.7
27
1/178.3
7485
643
4134","BONUS
BIG
REG
BIG確率
REG確率
最大継続
合成確率
累計ゲーム
最終ゲーム
最大放出数
	
本日
9
6
3
1/687.9
1/1375.7
1
1/458.6
4127
100
875
	
1日前
79
73
6
1/95.6
1/1162.2
36
1/88.3
6973
663
5626
	
2日前
7
7
0
1/191.5
2
1/191.5
1340
0
1127
	
3日前
89
84
5
1/64.8
1/1087.4
22
1/61.1
5437
72
7687
	
4日前
	
5日前
42
33
9
1/226.9
1/831.7
27
1/178.3
7485
643
4134",4127,100,"BONUS
BIG
REG
BIG確率
REG確率
最大継続
合成確率
累計ゲーム
最終ゲーム
最大放出数
	
本日
9
6
3
1/687.9
1/1375.7
1
1/458.6
4127
100
875
	
1日前
79
73
6
1/95.6
1/1162.2
36
1/88.3
6973
663
5626
	
2日前
7
7
0
1/191.5
2
1/191.5
1340
0
1127
	
3日前
89
84
5
1/64.8
1/1087.4
22
1/61.1
5437
72
7687
	
4日前
	
5日前
42
33
9
1/226.9
1/831.7
27
1/178.3
7485
643
4134"
0111,BONUS,53,8,BONUS,BONUS,BONUS,BONUS,4124,374,BONUS
0112,BONUS,21,2,BONUS,BONUS,BONUS,BONUS,4459,457,BONUS
0113,BONUS,6,3,BONUS,BONUS,BONUS,BONUS,4127,100,BONUS
0111,BIG,53,8,REG確率,最大継続,合成確率,累計ゲーム,4267,143,未検出
0112,BIG,21,2,REG確率,最大継続,合成確率,累計ゲーム,4617,615,未検出
0113,BIG,6,3,REG確率,最大継続,合成確率,累計ゲーム,4127,100,未検出
0111,未検出,54,8,未検出,未検出,未検出,未検出,4349,0,未検出
